epoch;acc;loss
0;0.923666670799;0.48676548028
0;0.955166662216;0.442383527517
0;0.942166666985;0.429105269253
0;0.946333334923;0.450078254819
0;0.914666669846;0.47456693989
0;0.912666669369;0.455544653416
0;0.951333333969;0.4256998716
0;0.975102155123;0.0827265066975
1;0.98084680799;0.0540115651512
0;0.64166662693;0.690567409992
1;0.850000035763;0.679662203789
0;0.974706572285;0.0835101821863
1;0.980733784065;0.0547401305083
0;0.974339245618;0.084913625794
1;0.980625107404;0.055028482209
2;0.98213571292;0.0480020839938
0;0.974656580687;0.084810717825;0.978503736967;0.0645496364183
1;0.980798024644;0.054286674311;0.978851503485;0.0638968643485
0;0.97569504786;0.0799154616754;0.979786125178;0.0575288710712
1;0.982329158066;0.0490463991;0.979981741839;0.0560561882144
0;0.968628644321;0.103194340985;0.971483218962;0.0846875467565
1;0.973849957172;0.0766058051279;0.970657271585;0.085824777877
