epoch;acc;loss
0;0.974287949269;0.086240248414
1;0.980805945299;0.05481573245
2;0.982957744453;0.0465413115395
0;0.970055240798;0.094353399965
1;0.980868842211;0.0544335485473
2;0.982997135525;0.0465236420155
0;0.97166189318;0.0908125662519
1;0.980751473889;0.0545964857679
2;0.982791087169;0.0469661253122
0;0.972537818489;0.0893187831374
1;0.980153885694;0.0568368240645
2;0.982227437977;0.0487501919231
0;0.972611278973;0.0877352634401
1;0.980224617205;0.0564538653723
2;0.982579822904;0.047787867948
0;0.973352008488;0.0882759877261
1;0.980542817186;0.0560032944536
2;0.982457236895;0.0479293003766
0;0.976868610502;0.0755872541793
1;0.981243456107;0.0529368707205
2;0.982768392296;0.0462420594296
